Participant-ID;age;gender;ef1;ef2;ef3;ef4;ef5;ef6;ef7;ef8;ef9;ef10;ef11;ef12
370;31;männlich;3;2;4;1;2;4;4;4;3;5;3;4
371;40;weiblich;3;3;4;4;4;4;4;5;4;5;5;3
372;20;weiblich;4;3;5;3;4;4;5;4;3;4;3;2
373;18;weiblich;3;3;3;4;3;4;2;3;2;4;4;5
374;23;männlich;1;1;3;4;4;2;4;4;2;3;1;4
375;21;männlich;4;3;4;2;2;2;1;3;3;1;5;4
376;19;weiblich;4;4;4;4;3;5;4;5;3;2;4;2
377;23;weiblich;1;1;2;2;2;4;3;5;4;2;4;4
378;21;weiblich;4;2;3;4;3;5;4;5;4;2;3;5
379;26;weiblich;2;3;2;4;1;5;4;5;5;1;5;5
380;21;weiblich;4;4;4;3;2;2;4;4;4;5;4;4
381;20;weiblich;3;4;2;4;2;4;2;4;3;3;4;4
382;17;weiblich;5;1;5;1;3;1;5;4;5;5;4;1
383;33;weiblich;3;3;1;2;4;3;3;3;3;1;1;3
384;25;weiblich;3;1;2;4;4;5;4;3;4;1;1;5
385;20;weiblich;4;3;4;3;2;3;3;3;3;4;2;3
386;21;männlich;3;3;5;3;3;4;2;3;3;3;3;3
387;33;weiblich;4;3;2;4;2;5;4;4;4;4;4;4
388;22;weiblich;1;1;4;3;1;1;4;2;1;5;5;2
389;24;weiblich;3;1;2;3;2;4;2;4;3;3;4;3
390;28;weiblich;5;3;3;5;2;5;2;5;4;3;3;5
391;22;männlich;3;2;3;4;2;3;3;4;3;4;4;4
392;23;weiblich;4;3;3;4;2;4;2;4;4;4;4;4
393;34;männlich;3;1;1;3;3;3;5;1;1;1;1;1
394;28;weiblich;1;1;5;1;1;1;1;2;2;3;1;1
395;20;weiblich;4;3;5;4;4;4;3;5;2;5;5;5
396;22;männlich;4;3;3;5;1;4;2;3;2;2;2;5
397;30;weiblich;3;4;4;2;2;2;1;5;4;1;5;5
398;21;weiblich;1;2;4;4;4;2;3;1;2;3;3;1
399;23;weiblich;2;3;3;3;1;1;1;3;1;3;3;1
400;43;weiblich;3;1;1;5;1;4;5;5;4;1;1;4
401;21;weiblich;3;2;4;4;2;3;2;4;2;3;4;3
402;20;männlich;5;5;5;5;4;5;1;5;1;5;5;5
403;19;weiblich;5;1;3;5;1;5;3;3;5;3;1;5
404;67;männlich;4;4;4;4;4;3;4;4;3;3;2;4
405;29;weiblich;4;3;3;4;2;3;3;4;4;4;2;4
406;45;weiblich;2;3;2;3;2;2;3;3;3;1;3;2
407;24;männlich;3;3;2;2;2;5;1;3;3;1;1;5
408;24;männlich;3;4;4;4;2;3;2;3;4;4;2;3
409;20;weiblich;1;3;3;5;2;4;3;4;3;4;4;3
410;23;weiblich;3;1;1;1;2;3;4;3;5;3;3;5
411;40;weiblich;3;1;1;3;5;3;5;1;3;1;1;3
412;20;weiblich;4;4;3;3;5;3;2;3;3;3;3;4
413;16;weiblich;4;2;3;3;3;3;4;3;2;3;2;3
414;27;weiblich;4;3;5;4;3;3;2;4;3;5;5;3
415;23;weiblich;4;4;4;5;2;5;4;5;4;4;5;5
416;30;männlich;3;3;3;3;3;3;3;3;3;3;3;3
417;20;weiblich;4;4;4;4;2;4;4;4;4;4;4;4
418;25;weiblich;3;2;4;2;2;2;4;2;2;2;1;4
